5,0.000059,37
5,0.000095,5
50,0.000247,4852
50,0.000050,50
100,0.000585,19702
100,0.000156,100
200,0.004781,79402
200,0.000329,200
300,0.006427,179102
300,0.001299,300
400,0.009374,318802
400,0.000580,400
500,0.015204,498502
500,0.001029,500
600,0.021335,718202
600,0.001116,600
700,0.029034,977902
700,0.001989,700
800,0.044459,1277602
800,0.001772,800
900,0.054768,1617302
900,0.002056,900
1000,0.071626,1997002
1000,0.002557,1000
1500,0.169479,4495502
1500,0.005546,1500
2000,0.305854,7994002
2000,0.009657,2000
2500,0.483385,12492502
2500,0.015028,2500
3000,0.684852,17991002
3000,0.020086,3000
4000,1.243015,31988002
4000,0.034708,4000
5000,1.945411,49985002
5000,0.055744,5000
6000,2.821568,71982002
6000,0.078031,6000
7000,4.017085,97979002
7000,0.110603,7000
8000,5.569533,127976002
8000,0.144866,8000
9000,7.878984,161973002
9000,0.184523,9000
5,0.000735,37
5,0.000320,5
50,0.000410,4852
50,0.000423,50
100,0.000620,19702
100,0.000533,100
200,0.002926,79402
200,0.000639,200
300,0.005729,179102
300,0.001047,300
400,0.010753,318802
400,0.000818,400
500,0.014434,498502
500,0.000862,500
600,0.022615,718202
600,0.001150,600
700,0.028570,977902
700,0.001626,700
800,0.040503,1277602
800,0.002591,800
900,0.051691,1617302
900,0.002137,900
1000,0.072186,1997002
1000,0.003523,1000
1500,0.170793,4495502
1500,0.005587,1500
2000,0.315319,7994002
2000,0.008666,2000
2500,0.471291,12492502
2500,0.014408,2500
3000,0.682064,17991002
3000,0.020113,3000
4000,1.276417,31988002
4000,0.033758,4000
5000,1.959300,49985002
5000,0.051358,5000
6000,2.864915,71982002
6000,0.078127,6000
7000,4.002289,97979002
7000,0.100755,7000
8000,5.700506,127976002
8000,0.131355,8000
9000,7.030355,161973002
9000,0.166910,9000
5,0.000670,37
5,0.000438,5
50,0.000326,4852
50,0.000409,50
100,0.000642,19702
100,0.000487,100
200,0.002529,79402
200,0.000711,200
300,0.005660,179102
300,0.000913,300
400,0.009279,318802
400,0.000537,400
500,0.014915,498502
500,0.002330,500
600,0.022590,718202
600,0.001136,600
700,0.031588,977902
700,0.001404,700
800,0.040530,1277602
800,0.001715,800
900,0.052695,1617302
900,0.002281,900
1000,0.071448,1997002
1000,0.002950,1000
1500,0.167855,4495502
1500,0.005337,1500
2000,0.302801,7994002
2000,0.009012,2000
2500,0.474200,12492502
2500,0.016640,2500
3000,0.686728,17991002
3000,0.019847,3000
4000,1.239493,31988002
4000,0.034316,4000
5000,1.946613,49985002
5000,0.052682,5000
6000,2.849752,71982002
6000,0.075190,6000
7000,4.037958,97979002
7000,0.103000,7000
8000,5.482829,127976002
8000,0.133374,8000
9000,6.996030,161973002
9000,0.168359,9000
