5,0.000003
50,0.000034
100,0.000115
200,0.000230
300,0.000274
400,0.000513
500,0.000669
600,0.001570
700,0.001413
800,0.001844
900,0.002641
1000,0.002978
1500,0.005829
2000,0.011104
2500,0.017137
3000,0.024261
4000,0.041703
5000,0.071549
6000,0.092432
7000,0.131338
8000,0.175600
9000,0.215931
5,0.000002
50,0.000059
100,0.000065
200,0.000168
300,0.000368
400,0.000435
500,0.000839
600,0.001210
700,0.001765
800,0.002105
900,0.002464
1000,0.003017
1500,0.005593
2000,0.010577
2500,0.018006
3000,0.022734
4000,0.040635
5000,0.062155
6000,0.093561
7000,0.126757
8000,0.164282
9000,0.219508
5,0.000002
50,0.000027
100,0.000068
200,0.000158
300,0.000367
400,0.000513
500,0.000704
600,0.001094
700,0.001777
800,0.001855
900,0.002742
1000,0.003128
1500,0.005457
2000,0.011328
2500,0.016594
3000,0.023560
4000,0.046656
5000,0.061449
6000,0.091555
7000,0.124266
8000,0.164593
9000,0.213145
5,0.000002
50,0.000019
100,0.000060
200,0.000206
300,0.000445
400,0.000445
500,0.000831
600,0.001172
700,0.002064
800,0.001944
900,0.002248
1000,0.003161
1500,0.005817
2000,0.010121
2500,0.014836
3000,0.023891
4000,0.040046
5000,0.061287
6000,0.091242
7000,0.124959
8000,0.165440
9000,0.213381
5,0.000002
50,0.000023
100,0.000051
200,0.000226
300,0.000382
400,0.000466
500,0.000942
600,0.001811
700,0.002069
800,0.002163
900,0.002250
1000,0.002902
1500,0.005996
2000,0.010976
2500,0.018141
3000,0.023426
4000,0.040828
5000,0.061351
6000,0.094510
7000,0.126373
8000,0.164633
9000,0.217363
5,0.000002
50,0.000016
100,0.000064
200,0.000209
300,0.000387
400,0.000578
500,0.000878
600,0.001216
700,0.001620
800,0.002040
900,0.002932
1000,0.003017
1500,0.006020
2000,0.010669
2500,0.015440
3000,0.023667
4000,0.039188
5000,0.061417
6000,0.096382
7000,0.130014
8000,0.165356
9000,0.218331
5,0.000002
50,0.000044
100,0.000056
200,0.000197
300,0.000525
400,0.000520
500,0.000804
600,0.001424
700,0.002283
800,0.001955
900,0.002271
1000,0.002955
1500,0.006392
2000,0.010458
2500,0.016655
3000,0.022701
4000,0.039436
5000,0.074656
6000,0.093442
7000,0.130530
8000,0.166579
9000,0.217817
5,0.000002
50,0.000017
100,0.000064
200,0.000195
300,0.000359
400,0.000521
500,0.001056
600,0.001203
700,0.001591
800,0.001902
900,0.002621
1000,0.003374
1500,0.005969
2000,0.011294
2500,0.015735
3000,0.022321
4000,0.039845
5000,0.060316
6000,0.093248
7000,0.128574
8000,0.166466
9000,0.220686
