5,0.000043,17
50,0.000109,158
100,0.000178,783
200,0.000503,1092
300,0.000349,1968
400,0.000547,3214
500,0.001632,4225
600,0.001633,5716
700,0.002076,6942
800,0.002432,7136
900,0.002814,6843
1000,0.003903,8208
1500,0.006579,15715
2000,0.012156,20205
2500,0.016787,27996
3000,0.023828,29321
4000,0.054421,34267
5000,0.065352,63815
6000,0.096780,59250
7000,0.141582,72722
8000,0.171980,80879
9000,0.232696,103680
5,0.000359,11
50,0.000722,319
100,0.000550,405
200,0.001652,1617
300,0.001359,3241
400,0.000848,3151
500,0.000931,3484
600,0.001282,5014
700,0.001685,5193
800,0.002317,5968
900,0.003012,7490
1000,0.003129,9514
1500,0.006652,14825
2000,0.012027,21863
2500,0.016898,24769
3000,0.025211,25872
4000,0.040648,43456
5000,0.065112,59686
6000,0.098545,59950
7000,0.129124,77000
8000,0.173983,74142
9000,0.227719,94257
5,0.000503,14
50,0.000469,302
100,0.000528,475
200,0.000958,1373
300,0.000559,1672
400,0.000897,2848
500,0.000989,3862
600,0.001681,4392
700,0.001914,5417
800,0.002896,7419
900,0.002935,8218
1000,0.003337,8727
1500,0.006522,12943
2000,0.010906,16600
2500,0.018717,22313
3000,0.024327,29531
4000,0.042963,41142
5000,0.063804,53101
6000,0.107782,74621
7000,0.132910,77116
8000,0.175815,87199
9000,0.221753,90159
5,0.000517,13
50,0.000663,225
100,0.001489,678
200,0.001161,1281
300,0.000977,2056
400,0.002573,2539
500,0.001210,3581
600,0.001401,4799
700,0.001813,5963
800,0.002890,6011
900,0.002920,7910
1000,0.003009,7932
1500,0.006286,11210
2000,0.011505,18547
2500,0.016805,24446
3000,0.023486,33636
4000,0.040766,51597
5000,0.069070,57936
6000,0.158371,64461
7000,0.143349,73491
8000,0.197666,89156
9000,0.250796,97527
5,0.001146,10
50,0.000460,247
100,0.000503,519
200,0.004538,1059
300,0.000933,1914
400,0.001617,4137
500,0.002016,3725
600,0.002412,4849
700,0.002495,5708
800,0.002547,6269
900,0.004051,8293
1000,0.002946,7760
1500,0.006574,17118
2000,0.014075,22450
2500,0.019727,25710
3000,0.026067,35200
4000,0.042522,36372
5000,0.063499,53964
6000,0.118872,68658
7000,0.130076,96122
8000,0.174561,88192
9000,0.226234,100658
5,0.000675,10
50,0.001904,343
100,0.000505,470
200,0.003668,1145
300,0.000937,1732
400,0.001003,2739
500,0.000892,4497
600,0.001469,5524
700,0.001923,5266
800,0.002249,6942
900,0.002701,7846
1000,0.003835,8231
1500,0.007392,22709
2000,0.013239,17838
2500,0.017184,29508
3000,0.030482,32749
4000,0.053935,41114
5000,0.067994,51548
6000,0.097560,70245
7000,0.136464,89339
8000,0.179720,84929
9000,0.254416,123054
5,0.000585,9
50,0.000932,389
100,0.000863,723
200,0.001029,1194
300,0.000585,2100
400,0.000853,2413
500,0.001011,3982
600,0.001804,5263
700,0.002102,5859
800,0.002430,8239
900,0.002791,7129
1000,0.004112,10948
1500,0.007058,12851
2000,0.011286,18894
2500,0.017599,36091
3000,0.026332,29960
4000,0.041736,47179
5000,0.075388,54112
6000,0.094658,54253
7000,0.146292,77897
8000,0.197390,87973
9000,0.228416,89249
