5,0.000001
50,0.000018
100,0.000056
200,0.000167
300,0.000297
400,0.000487
500,0.001772
600,0.001021
700,0.001304
800,0.001817
900,0.002159
1000,0.002454
1500,0.005623
2000,0.010428
2500,0.015282
3000,0.022214
4000,0.036868
5000,0.059035
6000,0.082419
